name,country_code,flag_emoji,group_letter,confederation,fifa_ranking,coach,captain,capital,population,languages,currency,wc_appearances,best_finish,fun_fact,animals,foods,landmarks,cheer_reasons,mls_connections,key_players
Haiti,HT,🇭🇹,C,CONCACAF,95,Marc Collat,Duckens Nazon,Port-au-Prince,12 million,French & Haitian Creole,Haitian Gourde,2,Group Stage (1974),"Haiti was the first Black republic in the world, winning independence in 1804 through a remarkable slave revolution — an inspiration to people everywhere!","Hispaniolan Trogon|Manatee|Cuban Crocodile|Rhinoceros Iguana","Griot (fried pork) 🐷|Akasan (corn porridge)|Pikliz (spicy slaw)|Joumou (pumpkin soup)","Citadelle Laferrière|Sans-Souci Palace|Labadee Beach|Bassin-Bleu Waterfall","First Black republic in history 🏴|Beautiful beaches 🏝️|Amazing music (Kompa) 🎵|Underdogs story 💪|Haitian Creole language","Several Haitian-Americans in MLS; growing diaspora talent pool","Duckens Nazon (FW)|Steeven Saba (FW)|Wilde-Donald Guerrier (MF)|Josué Duverger (GK)"
Scotland,GB-SCT,🏴󠁧󠁢󠁳󠁣󠁴󠁿,C,UEFA,30,Steve Clarke,Andy Robertson,Edinburgh,5.5 million,English & Scottish Gaelic,British Pound,8,Group Stage,"Scotland invented golf, the television, the telephone (Alexander Graham Bell), and penicillin — and their fans are the most passionate in the world!","Red Deer|Red Squirrel|Puffin|Highland Cattle|Golden Eagle","Haggis|Fish and Chips 🐟|Shortbread 🍪|Cranachan (raspberry cream)|Scotch whisky","Edinburgh Castle|Loch Ness|Glencoe|St Andrews","Golf ⛳|Highlands & castles 🏰|Bagpipes 🎵|Braveheart country 🗡️|Loch Ness Monster 👀","Andy Robertson played in MLS links; Celtic and Rangers players worldwide","Andy Robertson (DEF)|Scott McTominay (MF)|Che Adams (FW)|Angus Gunn (GK)"
USA,US,🇺🇸,D,CONCACAF,12,Mauricio Pochettino,Christian Pulisic,Washington D.C.,335 million,English,US Dollar,12,3rd Place (1930),"The USA is co-hosting this World Cup with 11 stadiums across the country — from Seattle to Miami! It's the biggest sports event EVER in the US!","Bald Eagle 🦅|Bison|Grizzly Bear|Florida Manatee|Gray Wolf","Cheeseburger 🍔|Hot dogs 🌭|BBQ|Apple Pie 🥧|Tacos","Statue of Liberty|Grand Canyon|Yellowstone|Golden Gate Bridge","Home country 🏠|Christian Pulisic 🌟|11 host stadiums 🏟️|Bald Eagles 🦅|Redemption story 💪","MOST MLS connections of any team — many USMNT stars play in MLS","Christian Pulisic (FW)|Weston McKennie (MF)|Tyler Adams (MF)|Matt Turner (GK)|Gio Reyna (MF)"
Paraguay,PY,🇵🇾,D,CONMEBOL,72,Daniel Garnero,Miguel Almirón,Asunción,7 million,Spanish & Guaraní,Paraguayan Guaraní,9,Quarterfinals (1962),"Paraguay speaks TWO languages: Spanish AND Guaraní! Guaraní is an indigenous language spoken by most Paraguayans — one of the few countries where an indigenous language is truly national!","Giant Anteater|Capybara|Howler Monkey|Yacaré Caiman","Sopa Paraguaya (corn bread)|Chipa (cheese bread)|Asado (BBQ)|Bori-Bori (chicken soup)","Pantanal Wetlands|Iguazu Falls|Jesuit Missions|Cerro Corá National Park","Guaraní language 🗣️|Capybaras 🦫|Fantastic BBQ 🔥|Jesuit ruins 🏛️|Comeback kings 💪","Miguel Almirón (Newcastle/formerly MLS Atlanta United superstar)","Miguel Almirón (MF)|Julio Enciso (FW)|Omar Alderete (DEF)|Antony Silva (GK)"
Australia,AU,🇦🇺,D,AFC,22,Tony Popovic,Mat Ryan,Canberra,26 million,English,Australian Dollar,6,Round of 16 (2006 & 2022),"Australia has more unique animals than almost anywhere on Earth — kangaroos, koalas, platypuses, and creatures that look like they're from another planet!","Kangaroo 🦘|Koala 🐨|Platypus|Wombat|Quokka|Saltwater Crocodile","Meat Pie 🥧|Tim Tams (chocolate biscuits)|Pavlova|Vegemite on toast|Lamingtons","Sydney Opera House|Great Barrier Reef|Uluru|Blue Mountains|Bondi Beach","Kangaroos 🦘|Koalas 🐨|Beaches 🏖️|Outback adventures 🌅|Matildas are superstars ⭐","Mat Ryan played for Real Sociedad; Miloš Degenek played for Columbus Crew; several MLS connections","Harry Souttar (DEF)|Mat Ryan (GK)|Mathew Leckie (FW)|Ajdin Hrustic (MF)"
Türkiye,TR,🇹🇷,D,UEFA,34,Vincenzo Montella,Hakan Çalhanoğlu,Ankara,85 million,Turkish,Turkish Lira,4,3rd Place (2002),"Turkey is the only country on TWO continents — Istanbul sits right on the border of Europe and Asia, making it truly the crossroads of the world!","Anatolian Leopard|Sea Turtle|Stork|Flamingo","Kebab 🥙|Baklava 🍯|Turkish Delight|Börek (pastry)|Lahmacun","Hagia Sophia|Ephesus|Cappadocia (balloon rides!)|Grand Bazaar","Two continents in one country 🌍🌏|Baklava 🍯|Hot air balloons in Cappadocia 🎈|3rd place in 2002 🏆|Istanbul is magical 🕌","Hakan Çalhanoğlu (Inter Milan); growing interest from MLS clubs","Hakan Çalhanoğlu (MF)|Arda Güler (MF)|Merih Demiral (DEF)|Altay Bayındır (GK)"
Germany,DE,🇩🇪,E,UEFA,7,Julian Nagelsmann,Joshua Kimmich,Berlin,84 million,German,Euro,20,Winner (1954|1974|1990|2014),"Germany has won the World Cup 4 times and has NEVER missed a World Cup since 1950! They're one of the most consistent teams in history.","Hedgehog|Red Fox|White Stork|Wild Boar","Bratwurst 🌭|Pretzels 🥨|Black Forest Cake|Schnitzel|Döner Kebab","Brandenburg Gate|Neuschwanstein Castle|Berlin Wall Memorial|Black Forest","Bratwurst & pretzels 🥨|4x World Cup winners 🏆|Legendary cars 🚗|Amazing castles 🏰|World Cup 2014 champs ⭐","Joshua Kimmich (Bayern); Kai Havertz; several players linked to global clubs","Joshua Kimmich (MF)|Kai Havertz (FW)|Florian Wirtz (MF)|Manuel Neuer (GK)"
Curaçao,CW,🇨🇼,E,CONCACAF,85,Remko Bicentini,Leandro Bacuna,Willemstad,152 thousand,Papiamentu & Dutch & English,Netherlands Antillean Guilder,1,Group Stage,"Curaçao is a tiny Caribbean island famous for its jaw-dropping colorful buildings, bright blue waters, and being the only island to give its name to a famous bright blue liqueur!","Sea Turtle|Flamingo|Burrowing Owl|Triggerfish|Seahorse","Stobá (goat stew)|Funchi (cornmeal)|Keshi Yená (stuffed cheese)|Bolo Preto (black cake)","Willemstad Floating Market|Boca Tabla|Hato Caves|Klein Curaçao Island","Colorful buildings 🎨|Caribbean beaches 🏖️|Smallest country in World Cup history 🏝️|Flamingos 🦩|Amazing snorkeling 🤿","Leandro Bacuna (FW/MF) — born in Curaçao, plays for Cardiff","Leandro Bacuna (MF)|Juriën Timber (DEF)|Cuco Martina (DEF)|Eloy Room (GK)"
Ivory Coast,CI,🇨🇮,E,CAF,50,Emerse Faé,Sébastien Haller,Yamoussoukro,27 million,French,West African CFA Franc,4,Round of 16,"Ivory Coast (Côte d'Ivoire) has produced some of Africa's greatest ever players, including the legendary Didier Drogba who inspired a whole generation!","Forest Elephant|Chimpanzee|Pigmy Hippopotamus|African Grey Parrot","Attiéké (cassava couscous)|Aloco (fried plantain)|Fufu|Kedjenou (chicken stew)","Man National Park|Basilica of Our Lady of Peace|Grand-Bassam|Tai Forest","Didier Drogba's homeland 🌟|Cocoa country (chocolate!) 🍫|Chimpanzees 🐒|African Champions 🏆|Giant elephants 🐘","Sébastien Haller played in multiple European leagues; Franck Kessié linked to MLS","Sébastien Haller (FW)|Franck Kessié (MF)|Simon Deli (DEF)|Badra Ali Sangaré (GK)"
Ecuador,EC,🇪🇨,E,CONMEBOL,30,Sebastián Beccacece,Enner Valencia,Quito,18 million,Spanish,US Dollar,4,Round of 16 (2006),"Ecuador sits right on the Equator — the country is literally named after the word for it! You can stand with one foot in each hemisphere!","Galápagos Giant Tortoise|Blue-footed Booby|Andean Condor|Pink River Dolphin","Ceviche 🦐|Llapingachos (potato cakes)|Fanesca (spring soup)|Cuy (guinea pig)","Galápagos Islands|Avenue of the Volcanoes|Middle of the World Monument|Quilotoa Lagoon","Galápagos Islands 🐢|Standing on the Equator 🌍|Blue-footed Boobies 🐦|Amazing volcanoes 🌋|Ceviche 🦐","Enner Valencia and other players linked to international leagues; growing MLS interest","Enner Valencia (FW)|Moisés Caicedo (MF)|Piero Hincapié (DEF)|Hernán Galíndez (GK)"
Netherlands,NL,🇳🇱,F,UEFA,8,Ronald Koeman,Virgil van Dijk,Amsterdam,18 million,Dutch,Euro,12,Runner-up (1974|1978|2010),"The Netherlands has reached the World Cup FINAL three times but never won — they're the world's most famous almost-champions! Maybe this is their year!","Tulip (national flower)|Heron|Badger|European Beaver","Stroopwafels 🧇|Dutch cheese 🧀|Bitterballen (meat snack)|Herring|Poffertjes (mini pancakes)","Rijksmuseum|Keukenhof Tulip Gardens|Anne Frank House|Windmills of Kinderdijk","Tulips 🌷|Windmills ⚙️|Total Football legends 🏆|3x World Cup finalists|Van Dijk is a wall 🧱","Virgil van Dijk (Liverpool); Memphis Depay; Cody Gakpo (Liverpool)","Virgil van Dijk (DEF)|Cody Gakpo (FW)|Xavi Simons (MF)|Bart Verbruggen (GK)"
Japan,JP,🇯🇵,F,AFC,19,Hajime Moriyasu,Wataru Endō,Tokyo,125 million,Japanese,Japanese Yen,8,Round of 16 (2022),"Japan shocked BOTH Germany AND Spain at the 2022 World Cup — coming from behind to win both games! The whole world was amazed by the comeback!","Japanese Macaque (Snow Monkey)|Red-crowned Crane|Sika Deer|Giant Salamander","Sushi 🍱|Ramen 🍜|Takoyaki (octopus balls)|Mochi|Wagyu beef","Mount Fuji|Fushimi Inari Shrine|Shibuya Crossing|Hiroshima Peace Memorial","Sushi 🍣|Nintendo & video games 🎮|Cherry blossoms 🌸|Mount Fuji 🗻|Beat Germany AND Spain in 2022 😱","Hideo Takahashi (soccer); growing J-League → MLS pipeline; Daichi Kamada","Son Heung-min (FW)|Wataru Endō (MF)|Ritsu Doan (FW)|Shuichi Gonda (GK)"
Sweden,SE,🇸🇪,F,UEFA,35,Jon Dahl Tomasson,Victor Nilsson Lindelöf,Stockholm,10.5 million,Swedish,Swedish Krona,12,3rd Place (1994),"Sweden gave us ABBA, IKEA, Minecraft, Spotify, and Astrid Lindgren who wrote Pippi Longstocking and Pippi's creator! Oh, and Zlatan Ibrahimović!","Moose|Arctic Fox|Reindeer|Wolverine|Lynx","Meatballs (köttbullar) 🍝|Cinnamon buns 🍩|Gravlax (cured salmon)|Smörgåsbord|ABBA-themed candy","Stockholm Old Town|IKEA birthplace (Älmhult)|ABBA Museum|Northern Lights","ABBA 🎵|IKEA 🛒|Minecraft 🎮|Zlatan Ibrahimović legend 🌟|Moose 🫎","Zlatan Ibrahimović had MLS ties (LA Galaxy discussions); growing Swedish MLS presence","Victor Nilsson Lindelöf (DEF)|Alexander Isak (FW)|Dejan Kulusevski (MF)|Robin Olsen (GK)"
Tunisia,TN,🇹🇳,F,CAF,46,Jalel Kadri,Yassine Meriah,Tunis,12 million,Arabic,Tunisian Dinar,6,Round of 16 (1978 first African WC win),"Tunisia was the FIRST African country to win a World Cup match, beating Mexico 3-1 in 1978! They were Africa's trailblazers!","Fennec Fox|Barbary Stag|Flamingo|Loggerhead Sea Turtle","Couscous 🫙|Brik (fried pastry with egg)|Merguez sausage|Lablabi (chickpea soup)","Carthage ruins|Sidi Bou Said|El Djem Amphitheater|Sahara Desert","Fennec fox 🦊|Sahara Desert 🐪|First African team to win a WC match 🏆|Carthage ruins 🏛️|Delicious couscous 🫙","Yassine Meriah and others in European leagues; limited MLS connections","Yassine Meriah (DEF)|Naim Sliti (MF)|Issam Jebali (FW)|Aymen Dahmen (GK)"
Belgium,BE,🇧🇪,G,UEFA,5,Domenico Tedesco,Kevin De Bruyne,Brussels,11.5 million,Dutch & French & German,Euro,16,3rd Place (2018),"Belgium won the 2018 World Cup bronze medal and has had one of the most talented 'Golden Generation' of players ever — De Bruyne, Lukaku, Hazard!","Belgian Blue Cattle|Red Squirrel|Common Kestrel|Stickleback","Belgian waffles 🧇|Belgian chocolate 🍫|Moules-frites (mussels & fries)|Belgian beer 🍺","Grand Place Brussels|Bruges canals|Atomium|Ghent Gravensteen Castle","Belgian waffles 🧇|Chocolate 🍫|3rd place in 2018 🏆|Kevin De Bruyne is a genius 🌟|3 languages in one country 🗣️","Romelu Lukaku; Kevin De Bruyne (Man City); Dries Mertens — limited MLS but huge global presence","Kevin De Bruyne (MF)|Romelu Lukaku (FW)|Yannick Carrasco (MF)|Koen Casteels (GK)"
Egypt,EG,🇪🇬,G,CAF,38,Hossam El-Badry,Mohamed Salah,Cairo,105 million,Arabic,Egyptian Pound,3,Round of 16 (1934),"Egypt is home to the Great Pyramids of Giza — built over 4,500 years ago! They're the oldest of the Seven Wonders of the Ancient World and still standing!","Egyptian Cobra|Nile Crocodile|African Wild Cat|Flamingo|Ibis","Koshari (lentil pasta)|Ful Medames (fava beans)|Ta'amiya (Egyptian falafel)|Egyptian feteer (pie)","Great Pyramids of Giza|Sphinx|Valley of the Kings|Luxor Temple","Pyramids of Giza 🏛️|Nile River 🌊|Mohamed Salah (world's best?) ⭐|Mummies & pharaohs 👑|Ancient mysteries 🔍","Mohamed Salah (Liverpool); growing connection as Salah is Egyptian-born","Mohamed Salah (FW)|Ahmed Hegazi (DEF)|Mohamed Elneny (MF)|Mohamed Abou Gabal (GK)"
Iran,IR,🇮🇷,G,AFC,25,Amir Ghalenoei,Mehdi Taremi,Tehran,87 million,Persian,Iranian Rial,6,Group Stage,"Iran is home to one of the oldest civilizations on Earth — ancient Persia! They have thousands of years of art, poetry, and science that shaped the world.","Persian Leopard|Asiatic Cheetah (critically endangered!)|Asiatic Lion|Iranian Ground Squirrel","Kabab Koobideh|Ghormeh Sabzi (herb stew)|Persian rice 🍚|Fesenjan (walnut pomegranate stew)","Persepolis ruins|Naqsh-e Jahan Square|Alamut Castle|Golestan Palace","Ancient Persia 🏛️|Persian carpets 🎨|Critically endangered Asiatic cheetah 🐆|Saffron 🌼|Mehdi Taremi is dangerous 🔥","Mehdi Taremi (Inter Milan); limited direct MLS but growing diaspora","Mehdi Taremi (FW)|Sardar Azmoun (FW)|Ali Gholizadeh (MF)|Alireza Beiranvand (GK)"
New Zealand,NZ,🇳🇿,G,OFC,100,Darren Bazeley,Clayton Lewis,Wellington,5 million,English & Māori,New Zealand Dollar,3,Group Stage,"New Zealand (Aotearoa) is home to the Māori people and the incredible landscapes used for Lord of the Rings — and the only country with a bird (kiwi) as its national symbol!","Kiwi 🥝|Tuatara (living dinosaur!)|Hector's Dolphin|Kea (mischievous parrot)","Pavlova 🍰|Hangi (earth oven feast)|Meat pie|L&P soda|Kiwifruit","Milford Sound|Hobbiton|Bay of Islands|Tongariro National Park","Lord of the Rings 🧝|Kiwi birds 🥝|Rugby All Blacks 🏉|Hobbiton 🏠|Māori culture 🌿","Several NZ players in global leagues; limited MLS but growing OFC development","Clayton Lewis (MF)|Chris Wood (FW)|Liberato Cacace (DEF)|Max Crocombe (GK)"
Spain,ES,🇪🇸,H,UEFA,3,Luis de la Fuente,Álvaro Morata,Madrid,47 million,Spanish,Euro,16,Winner (2010),"Spain won the 2010 World Cup as the FIRST European team to win on another continent — in South Africa! They played beautiful tiki-taka football!","Iberian Lynx (very endangered!)|Spanish Imperial Eagle|Brown Bear|Wild Boar","Paella 🥘|Tapas|Tortilla española|Churros 🍩|Gazpacho","Sagrada Familia|Alhambra|Park Güell|Prado Museum|La Tomatina festival","Paella 🥘|Sagrada Familia 🏰|World Cup 2010 champions 🏆|Iberian Lynx (endangered beauty) 🐆|La Liga best league 🔴🔵","Álvaro Morata; many Spanish players in MLS via friendship with Liga","Álvaro Morata (FW)|Pedri (MF)|Lamine Yamal (FW)|Unai Simón (GK)"
Cape Verde,CV,🇨🇻,H,CAF,80,Pedro Leitão,Ryan Mendes,Praia,600 thousand,Portuguese,Cape Verdean Escudo,2,Group Stage,"Cape Verde is a tiny archipelago of volcanic islands floating in the Atlantic Ocean off West Africa — they have one of the most beautiful music traditions in the world called Morna!","Loggerhead Sea Turtle|Osprey|Cape Verde Giant Skink|Humpback Whale","Cachupa (bean & corn stew)|Pastéis de bacalhau (fish cakes)|Catchupa rica|Grogue (sugarcane spirit)","Santo Antão island|Sal island beaches|São Filipe|Cape Verde volcanic peaks","Volcanic island paradise 🌋|Sea turtles 🐢|Morna music 🎵|Smallest team in Group H 💪|Beautiful beaches 🏖️","Limited MLS connections; Cape Verdean diaspora in Portugal and USA","Ryan Mendes (FW)|Garry Rodrigues (MF)|Steven Fortes (DEF)|Vozinha (GK)"
Saudi Arabia,SA,🇸🇦,H,AFC,55,Roberto Mancini,Salem Al-Dawsari,Riyadh,36 million,Arabic,Saudi Riyal,7,Round of 16 (1994),"Saudi Arabia pulled off one of the BIGGEST upsets in World Cup history, beating Argentina 2-1 in 2022! Even Messi couldn't stop them!","Arabian Oryx|Arabian Leopard|Nubian Ibex|Sand Gazelle","Kabsa (spiced rice) 🍚|Mandi (slow-cooked meat)|Mutabbaq (stuffed pancake)|Dates 🌴","Al-Khobar Corniche|Madain Saleh (Hegra)|Diriyah|Edge of the World","Beat Argentina in 2022 😱|Saudi Pro League stars 🌟|Arabian Oryx 🦌|Dates 🌴|Mecca & ancient history 🕌","Cristiano Ronaldo at Al-Nassr; Karim Benzema; many European stars now in Saudi Pro League","Salem Al-Dawsari (FW)|Mohammed Al-Owais (GK)|Mohammed Kanno (MF)|Ali Al-Bulayhi (DEF)"
Uruguay,UY,🇺🇾,H,CONMEBOL,20,Marcelo Bielsa,José María Giménez,Montevideo,3.5 million,Spanish,Uruguayan Peso,14,Winner (1930 & 1950),"Uruguay was the very FIRST World Cup champion in 1930 — and then won it again in 1950! For a country of only 3.5 million people, they're incredibly successful!","South American Coati|Pampas Deer|Maned Wolf|River Otter","Asado (BBQ) 🔥|Chivito (steak sandwich)|Mate tea 🧉|Dulce de leche|Empanadas","Punta del Este|Montevideo's Old City|Colonia del Sacramento|Casapueblo","Won the FIRST EVER World Cup 🏆|Mate tea 🧉|Best BBQ in the world 🔥|Only 3.5 million people but 2x champions 💪|Luis Suárez is a legend","Luis Suárez played for Inter Miami; Diego Forlán played in MLS; strong MLS connection","Rodrigo Bentancur (MF)|Darwin Núñez (FW)|Federico Valverde (MF)|Fernando Muslera (GK)"
France,FR,🇫🇷,I,UEFA,2,Didier Deschamps,Kylian Mbappé,Paris,68 million,French,Euro,16,Winner (1998 & 2018),"France won the World Cup in 1998 on home soil with Zinedine Zidane, then won it again in 2018 — making Kylian Mbappé a champion at just 19 years old!","Alpine Marmot|Chamois|European Wolf|Flamingo","Baguette 🥖|Croissant 🥐|Crêpes|Camembert cheese|Coq au vin","Eiffel Tower|Louvre Museum|Mont Blanc|Palace of Versailles|D-Day Beaches","Eiffel Tower 🗼|Kylian Mbappé is the fastest player alive ⚡|2x World Cup winners 🏆|Croissants 🥐|French fashion 👗","Kylian Mbappé (Real Madrid); Olivier Giroud played globally; Hugo Lloris (Spurs)","Kylian Mbappé (FW)|Antoine Griezmann (FW)|Aurélien Tchouaméni (MF)|Mike Maignan (GK)"
Senegal,SN,🇸🇳,I,CAF,17,Aliou Cissé,Kalidou Koulibaly,Dakar,17 million,French,West African CFA Franc,4,Quarterfinals (2002),"Senegal is one of Africa's strongest soccer nations and won the Africa Cup of Nations in 2022! Their fans make the loudest and most colorful celebrations you'll ever see!","African Lion|Chimpanzee|African Elephant|Nile Crocodile","Thiéboudienne (fish & rice) 🐟|Mafé (peanut stew)|Yassa (chicken/lemon)|Fataya (fried pastry)","Goree Island|Pink Lake (Lac Rose)|Dakar Rally finish|Djoudj Bird Sanctuary","Africa Cup of Nations champs 🏆|Sadio Mané is a superstar ⭐|African wildlife 🦁|Colorful boubou clothing 🎨|Djembe drumming 🥁","Kalidou Koulibaly (Chelsea/Al-Hilal); Sadio Mané famous globally; Ismaila Sarr","Sadio Mané (FW)|Kalidou Koulibaly (DEF)|Pape Matar Sarr (MF)|Édouard Mendy (GK)"
