country,continent,stamp_emoji,stamp_label,flag_fact,hero_emoji,hero_image_path,hero_image_url,hero_image_alt,hero_image_credit
Cape Verde,Africa,🐢,Sea Turtle,Cape Verde's 10 yellow stars represent its 10 main islands scattered across the Atlantic Ocean off the coast of West Africa.,🐢🎵🌊,,,,
Saudi Arabia,Asia,🌴,Date Palm,Saudi Arabia's flag is the only national flag with writing (the Islamic declaration of faith) AND a sword — both represent deeply held values.,🌴🐪🕌,,,,
Uruguay,South America,🧉,Mate Tea,Uruguay's Sun of May represents the sun that appeared through the clouds when independence was declared — the same symbol Argentina uses!,🧉🔥🐄,,,,
France,Europe,🗼,Eiffel Tower,France's blue white and red tricolor became famous during the Revolution in 1789 — it inspired dozens of other countries to use three stripes!,🗼🥐🌹,,,,
Senegal,Africa,🥁,Djembe Drum,Senegal's green star in the middle comes from the Pan-African flag movement — green represents hope and the forests of Africa.,🥁🦁🌊,,,,
Norway,Europe,🌌,Northern Lights,Norway's Nordic cross appears in all five Scandinavian country flags — it is a shared symbol across the entire Nordic region!,🌌🏔️🐋,,,,
Iraq,Asia,🏛️,Ziggurat of Ur,Iraq's flag has the phrase Allahu Akbar written in Arabic script across the middle — it was added during a period of great national pride.,🏛️🌊🌙,,,,
Argentina,South America,💃,Tango,Argentina's light blue and white were chosen by independence hero Manuel Belgrano. The Sun of May celebrates the May 1810 revolution!,💃🔥🥩,,,,
Algeria,Africa,🏜️,Sahara Desert,Algeria's green crescent and star on green and white have been Algeria's symbol since independence from France in 1962.,🏜️🦊🏺,,,,
Austria,Europe,🎻,Vienna Music,Austria's red-white-red flag is one of the oldest national flag designs — legend says it dates back to a battle in 1191 AD!,🎻🏔️🎂,,,,
Jordan,Asia,🏛️,Petra,Jordan's flag has a seven-pointed star representing the seven verses of the Quran's opening AND the seven hills of Amman the capital city!,🏛️🌅🏜️,,,,
Portugal,Europe,🥧,Pastel de Nata,Portugal's complex coat of arms shows five blue shields for five defeated kings and seven castles — one of the world's most detailed flags!,🥧🌊🏰,,,,
DR Congo,Africa,🦍,Mountain Gorilla,DR Congo's diagonal red stripe represents the blood of the country's martyrs — red blue and yellow stand for fire peace and wealth!,🦍🌿🌊,,,,
Uzbekistan,Asia,🕌,Samarkand,Uzbekistan's light blue specifically honors the legacy of the Timurid dynasty — the rulers who built the stunning city of Samarkand!,🕌🌺🛣️,,,,
Colombia,South America,☕,Coffee,Colombia shares its yellow blue and red with Ecuador and Venezuela — all were once the republic of Gran Colombia! Yellow is for gold.,☕🌺🐸,,,,
England,Europe,👑,The Crown,England's Saint George's Cross (red cross on white) dates back to the Crusades in the 1200s — it is one of Europe's oldest flag designs!,👑🏰⚽,,,,
Croatia,Europe,🌊,Adriatic Sea,Croatia's distinctive red and white chessboard pattern has been the Croatian national symbol for over 1000 years!,🌊🏛️🏖️,,,,
Ghana,Africa,🎨,Kente Cloth,Ghana's red gold and green are Pan-African colors. The black star is the Star of Black Emancipation — Ghana was first to win independence in 1957!,🎨⭐🥁,,,,
Panama,North America,🚢,Panama Canal,Panama's four-colored flag represents the two main political parties (red and blue) with white squares representing peace between them!,🚢🌿🦅,,,,
